epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.21367,2.68679,6.86827,2.0365,0,0,0,0,2.18954,9.88211,1.62996,7.16e-06,7.16e-06,7.16e-06
2,7.11869,2.63127,7.28316,1.9357,0,0,0,0,2.11941,7.80423,1.58687,1.59505e-05,1.59505e-05,1.59505e-05
3,10.3959,2.48709,6.11745,1.89913,0,0,0,0,1.7729,5.73964,1.36819,2.45638e-05,2.45638e-05,2.45638e-05
4,13.7821,2.28254,5.70459,1.65949,0.00113,0.00676,0.00137,0.0011,1.59073,5.34934,1.21479,3.29999e-05,3.29999e-05,3.29999e-05
5,16.7777,2.21136,5.39872,1.55424,0.00369,0.02027,0.01091,0.00821,1.54166,4.92798,1.12885,4.12588e-05,4.12588e-05,4.12588e-05
6,19.9133,2.15106,5.04872,1.58776,0.59459,0.01192,0.01569,0.01254,1.56229,4.77003,1.10237,4.93405e-05,4.93405e-05,4.93405e-05
7,23.1571,2.0315,4.74531,1.40248,0.3312,0.03153,0.01582,0.00947,1.77315,4.71225,1.17589,5.72449e-05,5.72449e-05,5.72449e-05
8,26.6113,2.01238,4.40209,1.3587,0.50593,0.05631,0.02309,0.0118,1.85973,4.92075,1.21844,6.49722e-05,6.49722e-05,6.49722e-05
9,29.6324,2.00449,4.1458,1.34472,0.6481,0.03753,0.05222,0.02057,1.98576,5.46258,1.29117,7.25222e-05,7.25222e-05,7.25222e-05
10,33.2057,1.92729,3.81983,1.3069,0.02278,0.22748,0.07998,0.03716,2.14523,5.64988,1.37576,7.9895e-05,7.9895e-05,7.9895e-05
11,42.4208,1.89274,3.66293,1.25174,0.03546,0.3536,0.08004,0.03303,2.21495,5.52639,1.40799,8.70907e-05,8.70907e-05,8.70907e-05
12,51.8957,1.87554,3.56843,1.33096,0.40448,0.17117,0.09095,0.03512,2.28405,5.01565,1.43661,9.41091e-05,9.41091e-05,9.41091e-05
13,59.7331,1.83975,3.32614,1.29479,0.46914,0.13679,0.09986,0.03772,2.23875,4.79585,1.41349,0.00010095,0.00010095,0.00010095
14,62.9247,1.79455,3.14994,1.26725,0.03823,0.4527,0.10818,0.04112,2.24493,4.49611,1.41505,0.000107614,0.000107614,0.000107614
15,65.8701,1.76974,3.06627,1.23761,0.03484,0.4955,0.10133,0.0342,2.2802,4.22994,1.43424,0.000114101,0.000114101,0.000114101
16,68.8847,1.74432,2.9141,1.27046,0.03618,0.48423,0.09127,0.03042,2.35839,4.1653,1.47603,0.000120411,0.000120411,0.000120411
17,71.8959,1.73371,2.86436,1.24057,0.08487,0.52027,0.1158,0.05345,2.13342,3.97863,1.37248,0.000126543,0.000126543,0.000126543
18,75.1041,1.71236,2.72946,1.25266,0.07225,0.53153,0.11049,0.05377,2.06333,3.83156,1.34105,0.000132498,0.000132498,0.000132498
19,78.3574,1.7087,2.60067,1.23625,0.07221,0.51126,0.10329,0.04978,2.09749,3.73159,1.36617,0.000138276,0.000138276,0.000138276
20,81.4665,1.6876,2.6239,1.22229,0.04425,0.51126,0.11629,0.06225,1.88093,3.5507,1.26064,0.000143877,0.000143877,0.000143877
21,84.5312,1.67267,2.4406,1.2294,0.03961,0.47358,0.13444,0.06678,1.74058,3.49476,1.19661,0.000143558,0.000143558,0.000143558
22,87.7576,1.60486,2.38637,1.22903,0.03613,0.53378,0.12389,0.06309,1.80528,3.48897,1.22833,0.000141786,0.000141786,0.000141786
23,90.7107,1.63608,2.32535,1.18007,0.04167,0.45505,0.08674,0.04456,1.94976,3.5267,1.28878,0.000140014,0.000140014,0.000140014
24,93.6693,1.63554,2.24461,1.17479,0.25783,0.21551,0.13958,0.06871,1.69629,3.45276,1.15712,0.000138242,0.000138242,0.000138242
25,96.5927,1.61219,2.13851,1.16255,0.27082,0.22313,0.1504,0.08191,1.63978,3.39981,1.1227,0.00013647,0.00013647,0.00013647
26,99.5455,1.61803,2.11583,1.18039,0.26238,0.20692,0.15327,0.07683,1.74711,3.41928,1.17323,0.000134697,0.000134697,0.000134697
27,102.34,1.58048,2.04831,1.14033,0.26892,0.21014,0.13882,0.07465,1.86938,3.43551,1.23687,0.000132925,0.000132925,0.000132925
28,105.693,1.58397,2.00981,1.17356,0.32919,0.20637,0.17302,0.08799,1.76478,3.34175,1.2006,0.000131153,0.000131153,0.000131153
29,108.728,1.51905,1.88758,1.13679,0.33769,0.24205,0.20572,0.10887,1.68009,3.35831,1.17477,0.000129381,0.000129381,0.000129381
