epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.40387,1.81473,3.42133,1.70271,0.16685,0.3125,0.15739,0.09527,1.44806,2.97331,1.38822,5e-05,5e-05,5e-05
2,10.8947,1.31962,2.41856,1.32552,0.28489,0.79507,0.38894,0.24672,1.1163,2.9705,1.06391,0.000111386,0.000111386,0.000111386
3,15.5185,1.12398,1.3154,1.12658,0.60249,0.9375,0.96877,0.78926,0.77592,2.24757,0.92018,0.000171535,0.000171535,0.000171535
4,20.1318,1.05204,0.96267,1.08298,0.8859,0.96019,0.98293,0.77019,0.97341,1.185,0.96764,0.000230446,0.000230446,0.000230446
5,24.6182,0.92881,0.87632,1.06275,0.96915,0.96711,0.995,0.79262,0.80915,0.88627,0.98806,0.00028812,0.00028812,0.00028812
6,29.0159,0.91656,0.77458,1.03004,0.85937,0.81517,0.90571,0.60012,0.89403,0.77696,1.00669,0.000344556,0.000344556,0.000344556
7,33.8692,0.83995,0.67738,1.02094,0.96093,0.98455,0.995,0.79843,0.91007,0.6296,1.01788,0.000399755,0.000399755,0.000399755
8,38.3252,0.84115,0.6472,1.03334,0.9641,0.99297,0.995,0.75339,1.09473,0.59671,1.15305,0.000453716,0.000453716,0.000453716
9,42.208,0.84202,0.63943,1.03116,0.89465,1,0.995,0.80959,0.83312,0.50149,1.01947,0.00050644,0.00050644,0.00050644
10,46.1934,0.85356,0.62607,1.02043,0.95619,1,0.995,0.77818,0.87513,0.50754,1.04374,0.000557926,0.000557926,0.000557926
11,50.0262,0.78328,0.56922,0.98545,0.83221,0.98354,0.98824,0.75121,1.06369,0.58553,1.15578,0.000608175,0.000608175,0.000608175
12,53.9081,0.77328,0.55237,0.98818,0.98242,1,0.995,0.72787,1.11224,0.52597,1.19983,0.000657186,0.000657186,0.000657186
13,57.6026,0.79008,0.54157,1.00717,0.91072,0.99767,0.95333,0.6823,1.27591,0.55563,1.30631,0.00070496,0.00070496,0.00070496
14,61.4098,0.77313,0.5206,0.98123,0.8005,0.86538,0.83938,0.57294,1.04877,0.49633,1.13877,0.000751496,0.000751496,0.000751496
15,65.6373,0.79579,0.53604,0.99168,0.93459,0.85231,0.87023,0.54172,1.19977,0.57808,1.22957,0.000796795,0.000796795,0.000796795
16,69.5427,0.79998,0.56056,1.01772,0.82546,0.94605,0.995,0.69441,0.95614,0.54596,1.08602,0.000840856,0.000840856,0.000840856
17,73.3052,0.80123,0.53657,1.0112,0.91784,0.65685,0.87572,0.59759,1.3345,1.27991,1.34952,0.00088368,0.00088368,0.00088368
18,77.3236,0.78902,0.50848,1.00914,0.54091,0.79531,0.8141,0.59423,1.25722,1.41603,1.24912,0.000925266,0.000925266,0.000925266
19,80.9293,0.79751,0.50806,0.99185,0.5205,0.65944,0.69308,0.50838,1.02659,1.59496,1.12514,0.000965615,0.000965615,0.000965615
20,84.7961,0.7825,0.52786,0.99993,0.71012,0.70196,0.71978,0.46038,1.26092,0.90765,1.22206,0.00100473,0.00100473,0.00100473
21,88.767,0.78996,0.51663,1.01436,0.66658,0.6993,0.69901,0.42335,1.46636,0.98809,1.34907,0.0010025,0.0010025,0.0010025
22,92.7114,0.81547,0.51744,1.01089,0.69348,0.71264,0.67411,0.34359,1.86122,1.27134,1.71049,0.000990125,0.000990125,0.000990125
23,96.2323,0.75555,0.49921,1.00758,0.82748,0.85899,0.88392,0.57922,1.44112,0.8164,1.51352,0.00097775,0.00097775,0.00097775
24,100.16,0.8285,0.48681,1.00513,0.90897,0.69942,0.90193,0.67576,1.04662,0.63779,1.20221,0.000965375,0.000965375,0.000965375
25,104.669,0.72913,0.47537,1.00274,0.88183,0.88466,0.97397,0.6881,1.06874,0.66467,1.24464,0.000953,0.000953,0.000953
26,109.201,0.80873,0.48791,1.04276,0.89683,0.80762,0.94383,0.70808,1.02503,0.89108,1.20723,0.000940625,0.000940625,0.000940625
27,113.665,0.80529,0.47355,1.02063,0.8822,0.91572,0.97672,0.74023,1.02142,0.69668,1.19163,0.00092825,0.00092825,0.00092825
28,118.431,0.85787,0.46868,1.03247,0.92601,0.92516,0.995,0.72611,1.09899,0.53922,1.25028,0.000915875,0.000915875,0.000915875
29,122.706,0.7596,0.46615,0.99216,1,0.90625,0.995,0.79968,0.87617,0.46599,1.07896,0.0009035,0.0009035,0.0009035
30,126.866,0.7916,0.45785,0.98706,0.82424,0.9808,0.995,0.73396,0.85418,0.49464,1.04236,0.000891125,0.000891125,0.000891125
31,131.229,0.76984,0.47695,1.00794,0.79944,0.90567,0.99141,0.76286,0.96993,0.66224,1.1416,0.00087875,0.00087875,0.00087875
