epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0556,1.8184,2.95612,1.78055,0.63621,0.75692,0.67431,0.37831,1.36008,2.75681,1.3359,0.0001111,0.0001111,0.0001111
2,21.046,1.46184,1.37121,1.49716,0.93328,0.89195,0.95238,0.65901,1.26146,1.43052,1.20835,0.000231,0.000231,0.000231
3,31.805,1.34972,1.13757,1.40079,0.95507,0.90701,0.97038,0.63195,1.40735,1.08643,1.34194,0.000348481,0.000348481,0.000348481
4,44.4748,1.31917,1.10236,1.44398,0.9307,0.88064,0.95523,0.55455,1.5425,0.92137,1.4299,0.000463541,0.000463541,0.000463541
5,57.4365,1.37621,0.98172,1.45063,0.88149,0.90054,0.93934,0.51115,1.7053,0.90059,1.4869,0.000576182,0.000576182,0.000576182
6,67.0338,1.34485,0.97327,1.39638,0.7768,0.82107,0.81964,0.51888,1.11497,0.82227,1.183,0.000686404,0.000686404,0.000686404
7,75.6251,1.38803,1.05605,1.43331,0.74815,0.95676,0.91945,0.49897,1.41292,0.93979,1.34986,0.000794205,0.000794205,0.000794205
8,84.481,1.28994,1.00653,1.42908,0.81273,0.80665,0.86227,0.5332,1.07902,0.72643,1.19356,0.000899587,0.000899587,0.000899587
9,93.7962,1.34061,0.98838,1.47,0.72768,0.73986,0.73599,0.5087,1.0743,0.89462,1.21816,0.00100255,0.00100255,0.00100255
10,102.404,1.30559,0.87447,1.41911,0.93314,0.8002,0.7966,0.53476,1.06404,0.66206,1.14134,0.00101201,0.00101201,0.00101201
11,110.765,1.33623,0.9226,1.4711,0.87023,0.83368,0.88483,0.56974,1.03228,0.86635,1.1809,0.00100101,0.00100101,0.00100101
12,119.467,1.37789,0.94617,1.49146,0.78069,0.89307,0.9328,0.59279,1.25905,0.9366,1.28494,0.000990012,0.000990012,0.000990012
13,127.916,1.34405,0.92375,1.43607,0.9041,0.9813,0.98773,0.68875,1.07479,0.74361,1.18612,0.000979013,0.000979013,0.000979013
14,136.523,1.29302,0.86374,1.42612,0.9809,0.94676,0.98703,0.67911,1.19933,0.66741,1.24733,0.000968014,0.000968014,0.000968014
15,145.142,1.26123,0.81695,1.39619,0.86885,0.94574,0.9302,0.5979,1.19451,0.68232,1.21484,0.000957015,0.000957015,0.000957015
16,153.743,1.33998,0.8596,1.47154,0.89246,0.92481,0.96179,0.58885,1.31329,0.67394,1.3393,0.000946016,0.000946016,0.000946016
17,162.201,1.29583,0.89114,1.40423,0.97763,0.95608,0.98841,0.73319,1.0283,0.65604,1.15352,0.000935018,0.000935018,0.000935018
18,170.965,1.30499,0.84782,1.38168,0.87809,0.72811,0.82473,0.6103,0.9962,0.64541,1.14772,0.000924019,0.000924019,0.000924019
